bin	CAPES_S11	CAPES_S21	CAPES_S7
MEGAHIT-CAPES_S7.1.fa	30.4512	78.12815	75.05584999999998
MEGAHIT-CAPES_S7.10.fa	1.12991	0.0	33.2106
MEGAHIT-CAPES_S7.11.fa	4.07942	114.1175	120.9975
MEGAHIT-CAPES_S7.12.fa	2.26305	3.8491400000000002	139.5
MEGAHIT-CAPES_S7.13.fa	4.54522	124.182	128.871
MEGAHIT-CAPES_S7.14.fa	4.02949	113.035	125.9805
MEGAHIT-CAPES_S7.15.fa	0.0	0.0	8.842189999999999
MEGAHIT-CAPES_S7.16.fa	0.05129630000000001	4.6611199999999995	160.974
MEGAHIT-CAPES_S7.17.fa	0.0	0.0	14.8488
MEGAHIT-CAPES_S7.18.fa	8.20923	0.04958615	33.488249999999994
MEGAHIT-CAPES_S7.19.fa	4.0340799999999986	112.2145	121.5415
MEGAHIT-CAPES_S7.2.fa	1.06108	0.0	40.3515
MEGAHIT-CAPES_S7.20.fa	0.0	0.0	11.6468
MEGAHIT-CAPES_S7.21.fa	31.97795	86.8018	74.71255
MEGAHIT-CAPES_S7.22.fa	15.1391	0.622099	35.7616
MEGAHIT-CAPES_S7.23.fa	0.0	0.0	8.651295
MEGAHIT-CAPES_S7.24.fa	15.8046	0.4058405000000001	34.6467
MEGAHIT-CAPES_S7.25.fa	3.4463449999999995	93.184	119.7205
MEGAHIT-CAPES_S7.26.fa	45.1233	3.98874	103.09
MEGAHIT-CAPES_S7.27.fa	3.9462650000000004	121.377	124.4245
MEGAHIT-CAPES_S7.28.fa	16.64115	0.8362335000000001	33.73875
MEGAHIT-CAPES_S7.29.fa	4.28209	124.156	123.14299999999999
MEGAHIT-CAPES_S7.3.fa	12.4781	177.271	56.3046
MEGAHIT-CAPES_S7.30.fa	17.00345	0.1504675	35.86035
MEGAHIT-CAPES_S7.31.fa	46.32865	3.84427	101.534
MEGAHIT-CAPES_S7.32.fa	3.821525	116.2525	128.2275
MEGAHIT-CAPES_S7.33.fa	4.228940000000001	127.15	128.917
MEGAHIT-CAPES_S7.34.fa	12.8963	167.28099999999998	60.9096
MEGAHIT-CAPES_S7.35.fa	15.148	0.301125	33.0953
MEGAHIT-CAPES_S7.36.fa	20.3767	53.913999999999994	77.89225
MEGAHIT-CAPES_S7.37.fa	3.25596	98.7957	119.26700000000001
MEGAHIT-CAPES_S7.38.fa	35.2052	84.9619	72.88040000000002
MEGAHIT-CAPES_S7.39.fa	52.1462	4.49073	116.632
MEGAHIT-CAPES_S7.4.fa	46.7732	4.33127	109.4985
MEGAHIT-CAPES_S7.40.fa	13.4571	0.194609	32.7453
