task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	7b/5dfdac	e9653d46-64e4-49ab-a463-b73a412ff4a3	NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz)	COMPLETED	0	2021-07-29 07:13:36.329	5m 34s	17s	2.6%	14.3 MB	103.3 MB	1.3 MB	8 MB
6	3c/22638c	9e8c61b3-e8bd-44a3-b3fc-b63cc0299a8a	NFCORE_MAG:MAG:KRONA_DB	COMPLETED	0	2021-07-29 07:13:36.254	6m 54s	1m 29s	88.5%	1.6 GB	1.7 GB	836.8 MB	924.5 MB
10	65/ddde39	5e870056-4d7f-4c0d-9983-1b9d8dfbfb68	NFCORE_MAG:MAG:FASTP (CAPES_S11)	COMPLETED	0	2021-07-29 07:13:36.653	7m 24s	1m 56s	608.1%	1.1 GB	1.7 GB	1.8 GB	1.9 GB
19	d4/54625f	04c3e451-ae1c-47d5-a9b7-41d5d1a36a46	NFCORE_MAG:MAG:FASTP (CAPES_S7)	COMPLETED	0	2021-07-29 07:13:36.645	8m 4s	2m 31s	551.0%	1.2 GB	1.6 GB	2.4 GB	2.4 GB
12	d7/b3a4ef	a771b9a0-bf57-4fba-9069-a59040578f42	NFCORE_MAG:MAG:FASTP (CAPES_S21)	COMPLETED	0	2021-07-29 07:13:36.765	8m 54s	3m 17s	548.8%	1.1 GB	1.7 GB	2.9 GB	3 GB
17	ef/ca5842	aad41445-7185-430e-9f4d-4fd3fd1a877c	NFCORE_MAG:MAG:FASTQC_RAW (CAPES_S7)	COMPLETED	0	2021-07-29 07:13:36.682	9m 14s	2m 2s	202.8%	1.1 GB	4.4 GB	2.4 GB	3.9 MB
15	f3/935516	180f4cc7-5396-4564-b98d-119642741dd4	NFCORE_MAG:MAG:FASTQC_RAW (CAPES_S21)	COMPLETED	0	2021-07-29 07:13:36.663	9m 34s	4m	129.2%	1 GB	4.3 GB	2.9 GB	3.9 MB
11	77/9bea33	76b78c06-ed1b-414e-bbcc-cea7fb8419f6	NFCORE_MAG:MAG:FASTQC_RAW (CAPES_S11)	COMPLETED	0	2021-07-29 07:13:36.444	12m 54s	7m 24s	53.0%	1 GB	4.3 GB	1.8 GB	3.8 MB
7	10/576a67	d721607c-104f-4e55-9e7a-4471eacec979	NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION	COMPLETED	0	2021-07-29 07:13:36.567	17m 24s	7m 55s	24.8%	6.9 MB	11.1 MB	12.3 GB	13.8 GB
9	e3/ecdbf7	e624f9e5-e441-4ad3-8851-4f9ce7820966	NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11)	COMPLETED	0	2021-07-29 07:13:36.685	19m 4s	12m 46s	97.2%	605 MB	1.9 GB	4.1 GB	44.4 MB
1	0a/50a3fc	fda6c88a-e5ff-4d44-bea5-a422139ebba8	NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION	COMPLETED	0	2021-07-29 07:13:36.412	24m 24s	12m 21s	16.6%	6.7 MB	11.1 MB	13 GB	14.9 GB
16	19/8ff9ee	430082a8-dfd5-45d8-ae06-f7df04e480d6	NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S7)	COMPLETED	0	2021-07-29 07:13:36.579	29m 34s	22m 43s	94.8%	630.8 MB	2 GB	8.1 GB	44.1 MB
13	62/c5be02	a2d12683-1bb5-420b-b02d-98fd9bdf0c77	NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21)	COMPLETED	0	2021-07-29 07:13:36.596	33m 14s	26m 46s	97.6%	1004.3 MB	2.2 GB	6.8 GB	79.7 MB
3	6e/a31afa	4d2787af-2da0-4eee-9b81-da527177dc69	NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz)	COMPLETED	0	2021-07-29 07:13:36.565	52m 24s	46m 56s	874.1%	5.2 GB	6.9 GB	24.3 GB	24.7 GB
5	d4/c32436	0999dc8e-ab8d-454e-ae57-4a921957be58	NFCORE_MAG:MAG:GTDBTK:GTDBTK_DB_PREPARATION (gtdbtk_r202_data.tar.gz)	COMPLETED	0	2021-07-29 07:13:36.363	53m 44s	19m 36s	48.7%	7.1 MB	11.1 MB	95.9 GB	97 GB
20	50/7d0871	f3e4aa5d-4387-42ed-88ab-55c9c25cd28b	NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_ALIGN (CAPES_S11-host_removed)	COMPLETED	0	2021-07-29 08:06:01.154	41m 29s	40m	1120.4%	3.2 GB	4.4 GB	25.4 GB	28.6 GB
8	d0/d019e4	266d048d-27d3-4297-a3f7-afdfbf12d151	NFCORE_MAG:MAG:PORECHOP (CAPES_S11)	COMPLETED	0	2021-07-29 07:13:36.236	1h 35m 34s	1h 28m 31s	372.0%	14.2 GB	14.6 GB	4 GB	7.7 GB
21	74/504bc2	616bf415-5475-4d21-aa98-bd6c4e87ba28	NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_ALIGN (CAPES_S7-host_removed)	COMPLETED	0	2021-07-29 08:06:01.189	53m 29s	52m 30s	1085.6%	3.2 GB	4.4 GB	30.1 GB	34.6 GB
22	4f/8a70aa	0e13905b-b578-4e81-850e-ba445ea89892	NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_ALIGN (CAPES_S21-host_removed)	COMPLETED	0	2021-07-29 08:06:01.273	1h 59s	1h 2s	1111.8%	3.2 GB	4.4 GB	37 GB	43.4 GB
23	50/3d750d	82ce3109-f355-4954-bc65-f740645523ae	NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S11-phix_removed)	COMPLETED	0	2021-07-29 08:47:31.341	42m 49s	41m 58s	483.0%	45.1 MB	645.4 MB	22.2 GB	28.6 GB
29	9b/3f131e	b87b9376-9f9c-409d-992b-a7bd6cdb333b	NFCORE_MAG:MAG:KRAKEN2 (CAPES_S11-minikraken_8GB_202003)	COMPLETED	0	2021-07-29 09:30:21.607	3m 19s	1m 42s	294.0%	7.7 GB	8.1 GB	16.6 GB	2.6 GB
30	75/0b2f74	29a2d0ac-b3c0-4f5d-a7d7-7d607dd61c4e	NFCORE_MAG:MAG:FASTQC_TRIMMED (CAPES_S11)	COMPLETED	0	2021-07-29 09:30:21.501	3m 29s	2m 35s	203.3%	1.1 GB	4.4 GB	1.7 GB	3.9 MB
4	8b/f5f73e	357e81e1-1a57-4680-9e80-2c2450ecaa03	NFCORE_MAG:MAG:CAT_DB (CAT_prepare_20210107.tar)	COMPLETED	0	2021-07-29 07:13:36.359	2h 22m 24s	1h 7m 31s	110.5%	7.1 MB	11.1 MB	442.2 GB	524.1 GB
27	f1/2fee16	b2e95e4f-b6f0-43c8-8713-ceaf571dfc96	NFCORE_MAG:MAG:CENTRIFUGE (CAPES_S11-p_compressed+h+v)	COMPLETED	0	2021-07-29 09:30:21.450	8m 9s	6m 56s	508.5%	7 GB	7.6 GB	16.3 GB	1.9 GB
32	e9/af5be1	2f63f8a3-5b9e-42a6-9096-bc50fc25caef	NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S11)	COMPLETED	0	2021-07-29 09:33:41.087	6m 50s	6m 5s	100.8%	1.9 GB	1.9 GB	432.6 MB	301.2 MB
24	85/7559cf	67cd76b6-086e-4793-b593-26ca4873ed50	NFCORE_MAG:MAG:NANOLYSE (CAPES_S11)	COMPLETED	0	2021-07-29 08:49:11.203	55m 19s	52m 49s	146.1%	31.1 MB	412 MB	49.9 GB	34.5 GB
33	37/784f2c	19829976-0459-47d0-bfea-2f228d3e19a3	NFCORE_MAG:MAG:KRONA (centrifuge-CAPES_S11)	COMPLETED	0	2021-07-29 09:38:31.237	6m 59s	6m 29s	100.1%	2 GB	2 GB	478 MB	348.1 MB
25	e4/98715a	dacced59-8b11-4c7f-809f-4db2a4caf2c9	NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7-phix_removed)	COMPLETED	0	2021-07-29 08:59:31.298	53m 39s	52m 46s	485.2%	46.1 MB	645.4 MB	26.8 GB	34.6 GB
14	63/6f55e7	a4c10889-5672-4dd1-9d9a-f0a322a326e8	NFCORE_MAG:MAG:PORECHOP (CAPES_S21)	COMPLETED	0	2021-07-29 07:13:36.727	2h 40m 4s	2h 28m 27s	365.4%	25.1 GB	25.6 GB	6.6 GB	13.2 GB
36	1d/4ca495	ef4a26c0-b2eb-4273-a48c-9d76dfe07cf8	NFCORE_MAG:MAG:FASTQC_TRIMMED (CAPES_S7)	COMPLETED	0	2021-07-29 09:53:11.377	3m 9s	2m 16s	194.9%	1 GB	4.3 GB	2.2 GB	3.9 MB
18	6d/542c1f	0f6d056a-d1a7-4ed8-97c9-33abf6d34dc2	NFCORE_MAG:MAG:PORECHOP (CAPES_S7)	COMPLETED	0	2021-07-29 07:13:36.577	2h 44m 14s	2h 28m 58s	372.4%	20.9 GB	21.4 GB	7.9 GB	14.7 GB
38	12/be74ca	10a03786-03c5-4909-adda-7a14d38bf418	NFCORE_MAG:MAG:KRAKEN2 (CAPES_S7-minikraken_8GB_202003)	COMPLETED	0	2021-07-29 09:53:11.530	7m 9s	2m 26s	299.3%	7.7 GB	8.2 GB	19 GB	3.6 GB
35	33/9614a0	bb7ff414-076e-4408-8942-5be77d6b93ce	NFCORE_MAG:MAG:CENTRIFUGE (CAPES_S7-p_compressed+h+v)	COMPLETED	0	2021-07-29 09:53:11.467	8m 59s	8m 1s	523.0%	7 GB	7.6 GB	18.6 GB	2.6 GB
42	4d/3198ee	d578a422-ee0f-4021-9654-803138645db1	NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S7)	COMPLETED	0	2021-07-29 10:00:21.162	8m 50s	8m 19s	100.2%	2.1 GB	2.1 GB	502.3 MB	363.8 MB
26	f5/70f636	b846963e-246f-4b21-99b5-5ef9e8ac2b42	NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S21-phix_removed)	COMPLETED	0	2021-07-29 09:07:01.178	1h 3m 19s	1h 2m 20s	489.1%	45.6 MB	645.4 MB	33.7 GB	43.4 GB
47	3f/4f906c	cbb13eba-378d-4e8f-beae-c356c7faa33a	NFCORE_MAG:MAG:KRAKEN2 (CAPES_S21-minikraken_8GB_202003)	COMPLETED	0	2021-07-29 10:10:21.395	3m 19s	2m 13s	281.9%	7.7 GB	8.2 GB	22 GB	4.6 GB
46	45/63e92e	5ce26a9e-ec2f-48c2-8938-369e68ad22f8	NFCORE_MAG:MAG:FASTQC_TRIMMED (CAPES_S21)	COMPLETED	0	2021-07-29 10:10:21.399	3m 39s	2m 50s	201.5%	1.1 GB	4.4 GB	2.8 GB	3.9 MB
43	58/3927a3	d3b1ef63-df01-4510-a074-4b1af213ed2f	NFCORE_MAG:MAG:KRONA (centrifuge-CAPES_S7)	COMPLETED	0	2021-07-29 10:02:11.204	11m 59s	11m 28s	101.1%	2.4 GB	2.5 GB	613.4 MB	469 MB
