	bin	Depth CAPES_S11	Depth CAPES_S21	Depth CAPES_S7	GenomeBin	Domain	%Complete (domain)	%Complete and single-copy (domain)	%Complete and duplicated (domain)	%Fragmented (domain)	%Missing (domain)	Total number (domain)	Specific lineage dataset	%Complete (specific)	%Complete and single-copy (specific)	%Complete and duplicated (specific)	%Fragmented (specific)	%Missing (specific)	Total number (specific)	Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp	# predicted rRNA genes	user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
0	MEGAHIT-CAPES_S7.1.fa	30.4512	78.12815	75.05584999999998	MEGAHIT-CAPES_S7.1.fa	bacteria_odb10	1.6	1.6	0.0	0.0	98.4	124.0								MEGAHIT-CAPES_S7.1.fa	4	4	4	4	2	2	201428	201428	201428	201428	170972	170972	4	102222	201428	48.22	102222	68750	1	2	0.0	0 + 0 part	MEGAHIT-CAPES_S7.1.fa																			
1	MEGAHIT-CAPES_S7.10.fa	1.12991	0.0	33.2106	MEGAHIT-CAPES_S7.10.fa	bacteria_odb10	71.0	71.0	0.0	0.8	28.2	124.0	firmicutes_odb10	77.1	77.1	0.0	1.4	21.5	218.0	MEGAHIT-CAPES_S7.10.fa	243	243	127	53	4	0	1728819	1728819	1377526	867452	152876	0	243	49968	1728819	39.43	10178	5643	53	112	0.0	0 + 0 part	MEGAHIT-CAPES_S7.10.fa	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	GCF_902810435.1	95.7953	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	96.56	0.95						d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_902810435.1, s__Veillonella parvula_A, 95.7953, 96.56, 0.95; GCF_000024945.1, s__Veillonella parvula, 95.7953, 95.5, 0.95; GCA_900757715.1, s__Veillonella sp900757715, 95.4547, 93.53, 0.84; GCA_900556785.1, s__Veillonella sp900556785, 95.0, 87.79, 0.69; GCA_900765235.1, s__Veillonella sp900765235, 95.0, 87.38, 0.68; GCF_002959775.1, s__Veillonella rogosae, 95.0, 87.21, 0.87; GCA_900549845.1, s__Veillonella sp900549845, 95.0, 87.2, 0.66; GCA_900552445.1, s__Veillonella sp900552445, 95.0, 87.04, 0.77; GCF_003463825.1, s__Veillonella sp003463825, 95.0, 87.02, 0.86; GCA_900538355.1, s__Veillonella sp900538355, 95.0, 86.99, 0.85; GCF_013393365.1, s__Veillonella dispar_A, 95.0, 86.92, 0.88; GCF_900637515.1, s__Veillonella dispar, 95.0, 86.92, 0.9; GCF_002959895.1, s__Veillonella infantium, 95.0, 86.89, 0.87; GCA_900545205.1, s__Veillonella sp900545205, 95.0, 86.79, 0.8; GCF_002959755.1, s__Veillonella sp002959755, 95.0, 86.79, 0.89; GCA_900552715.1, s__Veillonella sp900552715, 95.0, 86.6, 0.75; GCA_900550175.1, s__Veillonella sp900550175, 95.0, 86.19, 0.68; GCA_900766125.1, s__Veillonella sp900766125, 95.0, 85.53, 0.56; GCF_002959915.1, s__Veillonella atypica, 95.0, 82.42, 0.63; GCF_001078375.1, s__Veillonella tobetsuensis, 95.0, 82.38, 0.65; GCF_900187285.1, s__Veillonella rodentium, 95.3196, 81.38, 0.6; GCF_002959855.1, s__Veillonella denticariosi, 95.3196, 81.29, 0.63; GCF_003992125.1, s__Veillonella caviae, 95.0, 79.95, 0.5; GCA_009929605.1, s__Veillonella sp009929605, 95.0, 79.05, 0.34; GCF_000426745.1, s__Veillonella montpellierensis, 95.0, 77.12, 0.15; GCA_900549805.1, s__Veillonella sp900549805, 95.0, 77.0, 0.13; GCA_900550455.1, s__Veillonella sp900550455, 95.0, 76.95, 0.14	80.54	11.0		
2	MEGAHIT-CAPES_S7.11.fa	4.07942	114.1175	120.9975	MEGAHIT-CAPES_S7.11.fa	bacteria_odb10	5.6	5.6	0.0	1.6	92.8	124.0								MEGAHIT-CAPES_S7.11.fa	4	4	4	4	4	3	411934	411934	411934	411934	411934	363340	4	183221	411934	44.58	109964	70155	2	3	0.0	0 + 0 part	MEGAHIT-CAPES_S7.11.fa																			
3	MEGAHIT-CAPES_S7.12.fa	2.26305	3.84914	139.5	MEGAHIT-CAPES_S7.12.fa	Viruses							peduovirus_odb10	46.7	46.7	0.0	13.3	40.0	15.0	MEGAHIT-CAPES_S7.12.fa	5	5	5	4	4	2	364182	364182	364182	355483	355483	280331	5	225856	364182	57.26	225856	54475	1	2	0.0	0 + 0 part	MEGAHIT-CAPES_S7.12.fa																			
4	MEGAHIT-CAPES_S7.13.fa	4.54522	124.182	128.871	MEGAHIT-CAPES_S7.13.fa	bacteria_odb10	9.7	9.7	0.0	0.8	89.5	124.0								MEGAHIT-CAPES_S7.13.fa	5	5	5	5	4	3	403950	403950	403950	403950	379839	335669	5	143029	403950	43.63	100706	91934	2	3	0.0	0 + 0 part	MEGAHIT-CAPES_S7.13.fa																			
5	MEGAHIT-CAPES_S7.14.fa	4.02949	113.035	125.9805	MEGAHIT-CAPES_S7.14.fa	bacteria_odb10	11.3	11.3	0.0	0.0	88.7	124.0								MEGAHIT-CAPES_S7.14.fa	4	4	4	4	3	2	412787	412787	412787	412787	396729	358151	4	254294	412787	43.76	254294	103857	1	2	0.0	0 + 0 part	MEGAHIT-CAPES_S7.14.fa																			
6	MEGAHIT-CAPES_S7.15.fa	0.0	0.0	8.842189999999997	MEGAHIT-CAPES_S7.15.fa	bacteria_odb10	53.2	53.2	0.0	8.1	38.7	124.0	clostridiales_odb10	56.8	56.8	0.0	6.8	36.4	264.0	MEGAHIT-CAPES_S7.15.fa	451	451	70	10	0	0	1573111	1573111	521157	128117	0	0	451	23890	1573111	43.31	3817	2545	131	257	0.0	0 + 0 part	MEGAHIT-CAPES_S7.15.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	GCF_004346095.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	98.7	0.93	GCF_004346095.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	98.7	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546325.1, s__Faecalimonas sp900546325, 95.0, 87.16, 0.82; GCF_900104635.1, s__Faecalimonas phoceensis, 95.0, 78.12, 0.23; GCA_900556835.1, s__Faecalimonas sp900556835, 95.0, 78.0, 0.12; GCA_900550235.1, s__Faecalimonas sp900550235, 95.0, 77.97, 0.13; GCF_902381685.1, s__Faecalimonas sp000209385, 95.0, 77.55, 0.14; GCA_900555395.1, s__Faecalimonas sp900555395, 95.0, 77.36, 0.08; GCA_900316755.1, s__Faecalimonas sp900316755, 95.0, 77.24, 0.08; GCA_900550975.1, s__Faecalimonas sp900550975, 95.0, 77.19, 0.18; GCA_900551895.1, s__Faecalimonas sp900551895, 95.0, 76.99, 0.14	52.33	11.0		
7	MEGAHIT-CAPES_S7.16.fa	0.05129630000000001	4.66112	160.974	MEGAHIT-CAPES_S7.16.fa	bacteria_odb10	67.7	66.9	0.8	2.4	29.9	124.0	enterobacterales_odb10	80.9	80.0	0.9	0.7	18.4	440.0	MEGAHIT-CAPES_S7.16.fa	73	73	66	59	39	25	4515448	4515448	4489755	4440343	4064369	3546200	73	416285	4515448	57.72	138499	58668	10	23	0.0	3 + 0 part	MEGAHIT-CAPES_S7.16.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	GCF_000742135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	99.03	0.93	GCF_000742135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	99.03	0.93	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000828055.2, s__Klebsiella variicola, 95.0, 94.68, 0.92; GCF_002269255.1, s__Klebsiella quasivariicola, 95.0, 94.19, 0.9; GCF_000751755.1, s__Klebsiella quasipneumoniae, 95.0, 93.65, 0.9; GCF_000215745.1, s__Klebsiella aerogenes, 95.0, 85.85, 0.73	72.8	11.0		
8	MEGAHIT-CAPES_S7.17.fa	0.0	0.0	14.8488	MEGAHIT-CAPES_S7.17.fa	bacteria_odb10	47.6	46.0	1.6	8.1	44.3	124.0								MEGAHIT-CAPES_S7.17.fa	455	455	135	36	2	0	2100790	2100790	1181350	507562	59047	0	455	32470	2100790	37.93	5776	3309	111	232	0.0	0 + 0 part	MEGAHIT-CAPES_S7.17.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus	GCF_002000985.1	96.3165	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus	97.39	0.82	GCF_002000985.1	96.3165	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus	97.39	0.82	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000283635.1, s__Streptococcus macedonicus, 96.3165, 95.25, 0.7; GCF_900478025.1, s__Streptococcus pasteurianus, 96.1304, 94.59, 0.72; GCF_003337175.1, s__Streptococcus gallolyticus_B, 95.6693, 94.41, 0.65; GCF_000154985.1, s__Streptococcus infantarius, 95.0, 87.05, 0.62; GCF_900475675.1, s__Streptococcus lutetiensis, 95.0, 85.61, 0.6; GCF_004352735.1, s__Streptococcus sp002393675, 95.1145, 85.29, 0.54; GCF_900101445.1, s__Streptococcus equinus_B, 95.0, 85.25, 0.6; GCF_900104225.1, s__Streptococcus equinus_D, 95.1145, 84.5, 0.6; GCF_000187265.1, s__Streptococcus equinus, 95.0, 83.74, 0.57; GCF_012277075.1, s__Streptococcus alactolyticus, 95.0, 80.74, 0.38; GCF_000380105.1, s__Streptococcus orisratti, 95.0, 80.59, 0.26; GCF_000379985.1, s__Streptococcus caballi, 95.0, 79.61, 0.26; GCF_000423765.1, s__Streptococcus porci, 95.0, 78.5, 0.09; GCF_010120595.1, s__Streptococcus thermophilus, 95.0, 78.38, 0.16; GCF_000186445.1, s__Streptococcus agalactiae, 95.0, 78.14, 0.13; GCF_000376985.1, s__Streptococcus henryi, 95.0, 78.02, 0.26; GCF_011039275.1, s__Streptococcus hyointestinalis_A, 95.0, 78.01, 0.14; GCF_001074805.1, s__Streptococcus parasanguinis_A, 95.0, 77.98, 0.1; GCF_000785515.1, s__Streptococcus salivarius, 95.0, 77.95, 0.17; GCF_001587175.1, s__Streptococcus sp001587175, 95.0, 77.92, 0.08; GCF_000188295.1, s__Streptococcus vestibularis, 95.0, 77.84, 0.17; GCF_014435245.1, s__Streptococcus sp900543065, 95.0, 77.82, 0.09; GCF_000164675.2, s__Streptococcus parasanguinis, 95.0, 77.8, 0.11; GCF_009738225.1, s__Streptococcus sp001556435, 95.0, 77.77, 0.18; GCF_902363395.1, s__Streptococcus sp902363395, 95.0, 77.72, 0.1; GCF_000186465.1, s__Streptococcus australis, 95.0, 77.71, 0.1; GCF_000314795.2, s__Streptococcus sp000314795, 95.0, 77.68, 0.1; GCF_002386345.1, s__Streptococcus oralis_S, 95.0, 77.66, 0.09; GCF_902729355.1, s__Streptococcus sp902729355, 95.0, 77.66, 0.14; GCF_001885095.1, s__Streptococcus bovimastitidis, 95.0, 77.64, 0.12; GCF_000286075.1, s__Streptococcus ratti, 95.0, 77.61, 0.13; GCF_901542335.1, s__Streptococcus porcinus_A, 95.0, 77.58, 0.08; GCA_003521145.1, s__Streptococcus sp003521145, 95.0, 77.51, 0.14; GCF_003674745.1, s__Streptococcus iniae, 95.0, 77.49, 0.12; GCF_010604095.1, s__Streptococcus sp000187445, 95.0, 77.46, 0.18; GCF_000180035.1, s__Streptococcus parasanguinis_C, 95.0, 77.46, 0.1; GCF_002887775.1, s__Streptococcus penaeicida, 95.0, 77.46, 0.1; GCF_000380145.1, s__Streptococcus thoraltensis, 95.0, 77.44, 0.12; GCF_000187935.1, s__Streptococcus parauberis, 95.0, 77.43, 0.13; GCF_000448565.1, s__Streptococcus sp000448565, 95.0, 77.41, 0.12; GCF_004785935.1, s__Streptococcus rubneri, 95.0, 77.4, 0.1; GCF_000188015.2, s__Streptococcus ictaluri, 95.0, 77.38, 0.12; GCF_000960035.1, s__Streptococcus oralis_G, 95.0, 77.36, 0.09; GCF_011421455.1, s__Streptococcus sp011421455, 95.0, 77.34, 0.09; GCF_002055535.1, s__Streptococcus pyogenes, 95.0, 77.34, 0.11; GCF_001553855.1, s__Streptococcus gordonii, 95.0, 77.29, 0.08; GCF_003627135.1, s__Streptococcus koreensis, 95.0, 77.27, 0.08; GCA_900546335.1, s__Streptococcus sp900546335, 95.0, 77.25, 0.09; GCF_900459225.1, s__Streptococcus dysgalactiae, 95.0, 77.24, 0.14; GCF_000188055.2, s__Streptococcus urinalis, 95.0, 77.24, 0.14; GCF_001073155.1, s__Streptococcus parasanguinis_D, 95.0, 77.2, 0.11; GCA_900755085.1, s__Streptococcus sp900755085, 95.0, 77.19, 0.07; GCF_004166885.1, s__Streptococcus sp004166885, 95.0, 77.18, 0.09; GCF_000963275.1, s__Streptococcus parasanguinis_B, 95.0, 77.18, 0.1; GCF_000187975.2, s__Streptococcus criceti, 95.0, 77.17, 0.08; GCA_000440235.1, s__Streptococcus suis_F, 95.0, 77.14, 0.08; GCF_900459405.1, s__Streptococcus hyointestinalis, 95.0, 77.08, 0.15; GCF_001937065.1, s__Streptococcus sp001937065, 95.0, 77.05, 0.11; GCF_002355215.1, s__Streptococcus troglodytae, 95.0, 77.04, 0.15; GCF_003686955.1, s__Streptococcus sp003686955, 95.0, 77.04, 0.16; GCF_900636575.1, s__Streptococcus canis, 95.0, 77.04, 0.16; GCF_001302265.1, s__Streptococcus phocae, 95.0, 77.03, 0.07; GCF_000785785.1, s__Streptococcus uberis_A, 95.0, 77.02, 0.12; GCF_002760245.1, s__Streptococcus suis_I, 95.0, 77.0, 0.09; GCF_009870755.1, s__Streptococcus halichoeri, 95.0, 76.98, 0.07; GCF_000188035.1, s__Streptococcus pseudoporcinus, 95.0, 76.97, 0.1; GCF_002953735.1, s__Streptococcus pluranimalium, 95.0, 76.95, 0.15; GCF_000423725.1, s__Streptococcus devriesei, 95.0, 76.94, 0.1; GCF_000380085.1, s__Streptococcus merionis, 95.0, 76.93, 0.05; GCF_001431045.1, s__Streptococcus orisasini, 95.0, 76.9, 0.13; GCF_001598035.1, s__Streptococcus halotolerans, 95.0, 76.9, 0.1; GCF_001182825.2, s__Streptococcus sp001182825, 95.0, 76.88, 0.09; GCF_900475415.1, s__Streptococcus porcinus, 95.0, 76.87, 0.11; GCF_006739205.1, s__Streptococcus mutans, 95.0, 76.86, 0.14; GCF_900475595.1, s__Streptococcus uberis, 95.0, 76.82, 0.11; GCA_902373455.1, s__Streptococcus sp902373455, 95.0, 76.81, 0.08; GCA_900555155.1, s__Streptococcus sp900555155, 95.0, 76.79, 0.05; GCF_007859205.1, s__Streptococcus sp007859205, 95.0, 76.75, 0.1; GCF_000425025.1, s__Streptococcus castoreus, 95.0, 76.71, 0.13; GCF_000420785.1, s__Streptococcus hyovaginalis, 95.0, 76.7, 0.12; GCF_011038795.1, s__Streptococcus sp011038795, 95.0, 76.69, 0.09; GCF_001921845.1, s__Streptococcus cuniculi, 95.0, 76.67, 0.09; GCA_900637675.1, s__Streptococcus equi, 95.0, 76.67, 0.07; GCF_002964045.1, s__Streptococcus suis_U, 95.0, 76.63, 0.09; GCF_000372425.1, s__Streptococcus ferus, 95.0, 76.63, 0.09; GCF_000423745.1, s__Streptococcus plurextorum, 95.0, 76.62, 0.07; GCF_001708305.1, s__Streptococcus himalayensis, 95.0, 76.57, 0.07; GCF_000686605.1, s__Streptococcus sobrinus, 95.0, 76.46, 0.06; GCF_003086355.1, s__Streptococcus sp003086355, 95.0, 76.44, 0.06; GCF_000380005.1, s__Streptococcus didelphis, 95.0, 76.44, 0.11; GCF_001578885.1, s__Streptococcus sp001578885, 95.0, 76.38, 0.05; GCF_007859195.1, s__Streptococcus pharyngis, 95.0, 76.37, 0.07; GCF_000187995.2, s__Streptococcus macacae, 95.0, 76.31, 0.1; GCF_900459175.1, s__Streptococcus downei, 95.0, 76.09, 0.07; GCF_012396585.1, s__Streptococcus ovuberis, 95.0, 76.08, 0.04; GCF_001642085.1, s__Streptococcus pantholopis, 95.0, 76.07, 0.06; GCF_000380025.1, s__Streptococcus entericus, 95.0, 76.04, 0.05; GCF_001984715.1, s__Streptococcus azizii, 95.0, 75.88, 0.05; GCF_000380045.1, s__Streptococcus marimammalium, 95.0, 75.75, 0.07	59.42	11.0		
9	MEGAHIT-CAPES_S7.18.fa	8.20923	0.04958615	33.488249999999994	MEGAHIT-CAPES_S7.18.fa	bacteria_odb10	1.6	1.6	0.0	0.8	97.6	124.0								MEGAHIT-CAPES_S7.18.fa	8	8	7	6	2	1	202361	202361	199618	194601	108413	77530	8	77530	202361	44.14	30883	22839	2	4	0.0	0 + 0 part	MEGAHIT-CAPES_S7.18.fa																			
